"period","stateid","price","sales"
"2018-06","PA",10.01,"11663.62275"
"2018-06","PACC",14.49,"31757.72395"
"2018-06","PACN",25.41,"1229.00666"
"2018-06","RI",16.43,"608.51044"
"2018-06","SAT",10.05,"74438.19589"
"2018-06","SC",10.18,"7502.34108"
"2018-06","SD",10.21,"1036.41197"
"2018-06","TN",9.68,"9030.25004"
"2018-06","TX",8.77,"40453.92448"
"2018-06","US",10.75,"338082.98543"
"2018-06","UT",8.6,"2791.71959"
"2018-06","VA",9.72,"10116.26326"
"2018-06","VT",15.34,"422.30663"
"2018-06","WA",7.72,"6823.08091"
"2018-06","WI",10.45,"5984.53699"
"2018-06","WNC",10.83,"27063.15042"
"2018-06","WSC",8.54,"59638.53474"
"2018-06","WV",8.66,"2657.07151"
"2018-06","WY",8.27,"1340.4598"
"2018-05","AK",19.24,"472.05229"
"2018-05","AL",9.61,"7274.54457"
"2018-05","AR",7.48,"3708.62272"
"2018-05","AZ",11.33,"6614.6449"
"2018-05","CA",15.99,"19877.98039"
"2018-05","CO",9.87,"4470.54581"
"2018-05","CT",17.78,"2189.69972"
"2018-05","DC",11.86,"883.46896"
"2018-05","DE",10.49,"874.60947"
"2018-05","ENC",10.12,"46415.02946"
"2018-05","ESC",9.23,"24715.03894"
"2018-05","FL",10.17,"18844.0276"
"2018-05","GA",9.46,"11102.69316"
"2018-05","HI",28.65,"754.78183"
"2018-05","IA",8.33,"3977.62388"
"2018-05","ID",8.27,"1916.25476"
"2018-05","IL",9.53,"11461.79751"
"2018-05","IN",9.51,"8444.69954"
"2018-05","KS",10.91,"3511.88382"
"2018-05","KY",8.51,"6102.36078"
"2018-05","LA",7.55,"7335.69483"
"2018-05","MA",17.89,"3912.13169"
"2018-05","MAT",12.28,"27858.51857"
"2018-05","MD",11.31,"4684.42989"
"2018-05","ME",13.27,"908.37362"
"2018-05","MI",11.32,"8559.79749"
"2018-05","MN",10.47,"5469.33035"
"2018-05","MO",10.76,"6483.94075"
"2018-05","MS",9.36,"3788.74157"
"2018-05","MT",8.67,"1101.42053"
"2018-05","MTN",9.58,"22897.32486"
"2018-05","NC",8.89,"11020.27943"
"2018-05","ND",9.04,"1587.96299"
"2018-05","NE",8.96,"2427.84426"
"2018-05","NEW",17.13,"8802.16884"
"2018-05","NH",17.08,"820.25984"
"2018-05","NJ",13.17,"5777.52382"
"2018-05","NM",8.88,"1971.70791"
"2018-05","NV",8.4,"3092.23681"
"2018-05","NY",14.26,"10910.98306"
"2018-05","OH",9.95,"12270.3632"
"2018-05","OK",7.82,"5513.7602"
"2018-05","OR",8.71,"3725.62913"
"2018-05","PA",9.9,"11170.01169"
"2018-05","PACC",13.22,"30559.14201"
"2018-05","PACN",25.03,"1226.83412"
"2018-05","RI",17.22,"556.6483"
"2018-05","SAT",9.7,"66017.9181"
"2018-05","SC",9.44,"6635.09705"
"2018-05","SD",9.96,"960.3314"
"2018-05","TN",9.39,"7549.39202"
"2018-05","TX",8.38,"33779.03742"
"2018-05","US",10.35,"303248.00751"
"2018-05","UT",8.46,"2387.36624"
"2018-05","VA",9.37,"9324.5766"
"2018-05","VT",15.02,"415.05567"
"2018-05","WA",7.71,"6955.53249"
"2018-05","WI",10.81,"5678.37171"
"2018-05","WNC",10,"24418.91745"
"2018-05","WSC",8.13,"50337.11518"
"2018-05","WV",8.77,"2648.73595"
"2018-05","WY",8.27,"1343.14789"
"2018-04","AK",19.11,"478.62848"
"2018-04","AL",9.39,"6276.03058"
"2018-04","AR",7.43,"3449.07177"
"2018-04","AZ",10.57,"5705.91501"
"2018-04","CA",14.34,"18388.98709"
"2018-04","CO",9.83,"4139.0187"
"2018-04","CT",18.34,"2087.63539"
"2018-04","DC",12.75,"824.76148"
"2018-04","DE",10.56,"896.39577"
"2018-04","ENC",10.1,"42550.19741"
"2018-04","ESC",9.13,"22618.24759"
"2018-04","FL",10.19,"17398.44175"
"2018-04","GA",9.17,"9544.656"
"2018-04","HI",28.03,"755.90479"
"2018-04","IA",8.14,"3976.43241"
"2018-04","ID",8.08,"1688.38024"
"2018-04","IL",9.5,"10261.95038"
"2018-04","IN",9.61,"7738.74781"
"2018-04","KS",10.51,"2974.04824"
"2018-04","KY",8.38,"5532.53987"
"2018-04","LA",7.7,"6717.03499"
"2018-04","MA",18.38,"3924.57477"
"2018-04","MAT",12,"27829.73795"
"2018-04","MD",11.53,"4334.21817"
"2018-04","ME",13.42,"971.06378"
"2018-04","MI",11.32,"7877.7108"
"2018-04","MN",9.67,"5230.12202"
"2018-04","MO",9.1,"5756.78927"
"2018-04","MS",9.27,"3475.88887"
"2018-04","MT",8.56,"1197.74931"
"2018-04","MTN",9.2,"20718.57653"
"2018-04","NC",9.24,"9374.29384"
"2018-04","ND",8.8,"1632.7696"
"2018-04","NE",8.78,"2280.16582"
"2018-04","NEW",17.48,"8789.50869"
"2018-04","NH",17.02,"817.72784"
"2018-04","NJ",12.77,"5260.2489"
"2018-04","NM",8.91,"1773.41706"
"2018-04","NV",8.21,"2601.99883"
"2018-04","NY",13.82,"11041.78947"
"2018-04","OH",9.94,"11276.58809"
"2018-04","OK",7.93,"4498.42824"
"2018-04","OR",8.84,"3905.43203"
"2018-04","PA",9.91,"11527.69958"
"2018-04","PACC",12.1,"29447.97687"
"2018-04","PACN",24.57,"1234.53327"
"2018-04","RI",17.69,"562.66924"
"2018-04","SAT",9.77,"58737.59323"
"2018-04","SC",9.46,"5687.73466"
"2018-04","SD",9.66,"1007.87208"
"2018-04","TN",9.42,"7333.78827"
"2018-04","TX",8.13,"29018.88173"
"2018-04","US",10.18,"278467.98771"
"2018-04","UT",7.79,"2264.63101"
"2018-04","VA",9.37,"8199.9074"
"2018-04","VT",14.93,"425.83768"
"2018-04","WA",8.1,"7153.55775"
"2018-04","WI",10.5,"5395.20033"
"2018-04","WNC",9.22,"22858.19944"
"2018-04","WSC",7.99,"43683.41673"
"2018-04","WV",8.84,"2477.18417"
